date,state,total_vaccinations,total_distributed,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_80+,deaths_covid
2021-01-12,Alaska,35838.0,141600.0,22486.0,4.9,3.07,19.36,67,60,0,0,0,1,1,3,2,0,0
2021-01-12,West Virginia,103330.0,160975.0,,5.77,,8.98,819,803,2,2,3,9,8,27,21,17,11
2021-01-12,Illinois,347005.0,903100.0,284035.0,2.74,2.24,7.13,3729,3174,20,17,22,30,60,103,96,111,56
2021-01-12,Puerto Rico,74559.0,277200.0,61486.0,2.33,1.93,8.68,410,307,7,0,3,4,2,5,6,7,10
2021-01-12,Texas,911461.0,1949125.0,809148.0,3.14,2.79,6.72,14885,14171,121,81,110,156,275,391,394,303,235
2021-01-12,Montana,42083.0,78350.0,30887.0,3.94,2.89,7.33,213,202,1,2,3,0,5,8,12,11,2
2021-01-12,Indiana,191844.0,540475.0,114781.0,2.85,1.7,8.03,2463,2211,11,15,18,24,36,65,78,71,36
2021-01-12,Virgin Islands,880.0,9175.0,,0.84,,8.76,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,Iowa,98691.0,208875.0,91969.0,3.13,2.91,6.62,572,509,6,1,5,4,14,15,24,18,11
2021-01-12,North Dakota,39479.0,53525.0,33648.0,5.18,4.42,7.02,166,127,1,3,4,2,2,1,4,4,3
2021-01-12,Kansas,78268.0,193175.0,53988.0,2.69,1.85,6.63,982,885,1,5,7,5,17,26,39,38,17
2021-01-12,Kentucky,132114.0,329450.0,102517.0,2.96,2.29,7.37,1764,1630,3,6,12,28,46,83,110,56,26
2021-01-12,New York State,579532.0,1622100.0,543014.0,2.98,2.79,8.34,9931,9090,54,27,51,75,154,207,267,273,129
2021-01-12,Pennsylvania,341948.0,974725.0,266288.0,2.67,2.08,7.61,5784,5255,35,20,16,38,72,121,148,174,88
2021-01-12,Washington,195567.0,567725.0,162105.0,2.57,2.13,7.46,1041,945,7,3,7,1,15,19,20,19,9
2021-01-12,Missouri,161784.0,485175.0,107939.0,2.64,1.76,7.91,2611,2288,31,11,18,16,42,54,70,76,53
2021-01-12,Louisiana,142771.0,368300.0,117022.0,3.07,2.52,7.92,1762,2016,12,7,15,20,36,68,65,52,33
2021-01-12,Maine,54945.0,132975.0,38045.0,4.09,2.83,9.89,235,197,1,0,0,0,1,10,3,6,0
2021-01-12,Oregon,104610.0,321425.0,99594.0,2.48,2.36,7.62,521,417,0,3,2,4,7,12,9,11,9
2021-01-12,Maryland,146231.0,552800.0,136576.0,2.42,2.26,9.14,2105,1714,9,10,13,14,36,53,34,57,34
2021-01-12,Mississippi,54544.0,212050.0,45733.0,1.83,1.54,7.12,1419,1207,11,1,6,10,18,39,41,32,27
2021-01-12,Massachusetts,204082.0,476025.0,184984.0,2.96,2.68,6.91,2007,1807,14,8,16,22,48,55,65,58,34
2021-01-12,Utah,95225.0,256275.0,90613.0,2.97,2.83,7.99,598,529,0,13,2,7,14,21,18,18,2
2021-01-12,Oklahoma,157843.0,381375.0,109045.0,3.99,2.76,9.64,2032,1949,68,11,16,23,51,79,85,74,33
2021-01-12,Virginia,190607.0,797150.0,,2.23,,9.34,3111,2691,13,12,18,23,46,64,78,64,40
2021-01-12,Michigan,227685.0,768150.0,207786.0,2.28,2.08,7.69,2424,2194,23,11,25,14,50,58,68,61,41
2021-01-12,Ohio,311890.0,866050.0,311867.0,2.67,2.67,7.41,4471,4098,38,24,23,40,104,117,143,137,71
2021-01-12,Nebraska,74439.0,177375.0,65924.0,3.85,3.41,9.17,492,440,15,0,3,4,2,7,12,20,9
2021-01-12,Minnesota,162240.0,453200.0,152280.0,2.88,2.7,8.04,798,671,14,2,5,6,15,17,19,25,6
2021-01-12,Rhode Island,39568.0,80225.0,35385.0,3.74,3.34,7.57,456,415,6,5,3,5,1,8,6,11,12
2021-01-12,Alabama,78134.0,377025.0,70861.0,1.59,1.45,7.69,3188,3092,21,5,18,24,69,98,133,85,59
2021-01-12,Arizona,141355.0,563025.0,95141.0,1.94,1.31,7.74,5006,4509,23,22,36,53,81,105,137,99,93
2021-01-12,New Mexico,78235.0,177075.0,43344.0,3.73,2.07,8.44,697,639,2,6,7,6,18,19,18,16,8
2021-01-12,Arkansas,40879.0,274400.0,39357.0,1.35,1.3,9.09,1267,1190,7,4,8,20,15,34,51,40,38
2021-01-12,Wyoming,16467.0,47800.0,13577.0,2.85,2.35,8.26,116,107,1,1,1,1,1,6,6,3,5
2021-01-12,Vermont,25757.0,64925.0,,4.13,,10.4,56,55,0,0,0,0,1,2,7,5,1
2021-01-12,California,816301.0,3286050.0,703540.0,2.07,1.78,8.32,22453,21659,170,97,152,220,364,511,421,411,515
2021-01-12,Tennessee,251257.0,485800.0,143735.0,3.68,2.1,7.11,3174,3054,33,9,11,18,32,62,70,70,76
2021-01-12,Colorado,224428.0,516750.0,187838.0,3.9,3.26,8.97,957,824,18,12,11,15,23,27,36,21,2
2021-01-12,New Jersey,221045.0,654900.0,206737.0,2.49,2.33,7.37,3858,3544,15,8,21,32,65,96,112,108,63
2021-01-12,Idaho,35845.0,146750.0,31504.0,2.01,1.76,8.21,329,328,4,2,0,5,5,12,12,5,3
2021-01-12,North Carolina,211610.0,836450.0,189213.0,2.02,1.8,7.98,3949,3689,26,23,24,36,66,101,116,124,76
2021-01-12,Connecticut,151395.0,250775.0,56350.0,4.25,1.58,7.03,1298,1158,6,10,7,6,30,30,31,36,26
2021-01-12,South Carolina,81075.0,315950.0,77042.0,1.57,1.5,6.14,2243,2170,5,5,10,18,35,76,100,73,45
2021-01-12,Hawaii,33483.0,141750.0,,2.36,,10.01,133,117,0,1,1,1,0,1,1,1,2
2021-01-12,Delaware,26410.0,88325.0,15911.0,2.71,1.63,9.07,504,470,5,1,3,2,6,13,12,10,4
